GO_id,k_in_fg,K_in_bg,n_fg,N_bg,fold_enrichment,p_value,q_bh
GO:0009435,1,8,1193,15788,1.6542330259849118,0.4667229744706107,0.7262908319302016
GO:0048500,1,8,1193,15788,1.6542330259849118,0.4667229744706107,0.7262908319302016
GO:0006465,1,8,1193,15788,1.6542330259849118,0.4667229744706107,0.7262908319302016
GO:0004143,1,8,1193,15788,1.6542330259849118,0.4667229744706107,0.7262908319302016
GO:0000287,8,99,1193,15788,1.0694031683134784,0.47549513391925885,0.7379684478426898
GO:0030117,2,21,1193,15788,1.260368019798028,0.4783999877533839,0.738408464103874
GO:0016579,3,34,1193,15788,1.1676939006952318,0.47958487874787686,0.738408464103874
GO:0006811,3,34,1193,15788,1.1676939006952318,0.47958487874787686,0.738408464103874
GO:0006810,27,350,1193,15788,1.020898096036403,0.4846249119241803,0.7441997328228837
GO:0005096,2,22,1193,15788,1.2030785643526634,0.5033299927062806,0.7508833664939402
GO:0033177,1,9,1193,15788,1.470429356431033,0.5070397990242586,0.7508833664939402
GO:0034314,1,9,1193,15788,1.470429356431033,0.5070397990242586,0.7508833664939402
GO:0005885,1,9,1193,15788,1.470429356431033,0.5070397990242586,0.7508833664939402
GO:0005680,1,9,1193,15788,1.470429356431033,0.5070397990242586,0.7508833664939402
GO:0050664,1,9,1193,15788,1.470429356431033,0.5070397990242586,0.7508833664939402
GO:0009231,1,9,1193,15788,1.470429356431033,0.5070397990242586,0.7508833664939402
GO:0036402,1,9,1193,15788,1.470429356431033,0.5070397990242586,0.7508833664939402
GO:0030042,1,9,1193,15788,1.470429356431033,0.5070397990242586,0.7508833664939402
GO:0004040,1,9,1193,15788,1.470429356431033,0.5070397990242586,0.7508833664939402
GO:0004470,1,9,1193,15788,1.470429356431033,0.5070397990242586,0.7508833664939402
GO:0004471,1,9,1193,15788,1.470429356431033,0.5070397990242586,0.7508833664939402
GO:0005741,1,9,1193,15788,1.470429356431033,0.5070397990242586,0.7508833664939402
GO:0008312,1,9,1193,15788,1.470429356431033,0.5070397990242586,0.7508833664939402
GO:0008270,30,394,1193,15788,1.0076546351177127,0.5105663448508639,0.7541868342720884
GO:0005737,16,209,1193,15788,1.0131187910338217,0.5162097688519075,0.7605926214476207
GO:0031072,2,23,1193,15788,1.1507708006851562,0.5274741911566729,0.7710060190124267
GO:0008324,2,23,1193,15788,1.1507708006851562,0.5274741911566729,0.7710060190124267
GO:0008378,2,23,1193,15788,1.1507708006851562,0.5274741911566729,0.7710060190124267
GO:0048544,4,50,1193,15788,1.0587091366303436,0.528576291384808,0.7710060190124267
GO:0016614,5,64,1193,15788,1.03389564124057,0.5365392770420967,0.7726560340289391
GO:0003779,3,37,1193,15788,1.073016016855078,0.5372432718647292,0.7726560340289391
GO:0030127,1,10,1193,15788,1.3233864207879296,0.5443109518073282,0.7726560340289391
GO:0042578,1,10,1193,15788,1.3233864207879296,0.5443109518073282,0.7726560340289391
GO:0002161,1,10,1193,15788,1.3233864207879296,0.5443109518073282,0.7726560340289391
GO:0004616,1,10,1193,15788,1.3233864207879296,0.5443109518073282,0.7726560340289391
GO:0006694,1,10,1193,15788,1.3233864207879296,0.5443109518073282,0.7726560340289391
GO:0004568,1,10,1193,15788,1.3233864207879296,0.5443109518073282,0.7726560340289391
GO:0006032,1,10,1193,15788,1.3233864207879296,0.5443109518073282,0.7726560340289391
GO:0006270,1,10,1193,15788,1.3233864207879296,0.5443109518073282,0.7726560340289391
GO:0016620,1,10,1193,15788,1.3233864207879296,0.5443109518073282,0.7726560340289391
GO:0005777,2,24,1193,15788,1.1028220173232748,0.5508089188589143,0.7765125653259853
GO:0006807,2,24,1193,15788,1.1028220173232748,0.5508089188589143,0.7765125653259853
GO:0005515,155,2065,1193,15788,0.9933408969594629,0.5510303942949002,0.7765125653259853
GO:0004185,3,38,1193,15788,1.0447787532536286,0.5556361649551266,0.7811117101543084
GO:0007049,2,25,1193,15788,1.0587091366303436,0.5733185657244031,0.7833535044509944
GO:0071805,2,25,1193,15788,1.0587091366303436,0.5733185657244031,0.7833535044509944
GO:0000398,2,25,1193,15788,1.0587091366303436,0.5733185657244031,0.7833535044509944
GO:0004222,3,39,1193,15788,1.0179895544522537,0.5735839954472872,0.7833535044509944
GO:0003743,3,39,1193,15788,1.0179895544522537,0.5735839954472872,0.7833535044509944
GO:0008641,1,11,1193,15788,1.2030785643526634,0.5787663349036556,0.7833535044509944
GO:0000910,1,11,1193,15788,1.2030785643526634,0.5787663349036556,0.7833535044509944
GO:0000724,1,11,1193,15788,1.2030785643526634,0.5787663349036556,0.7833535044509944
GO:0016157,1,11,1193,15788,1.2030785643526634,0.5787663349036556,0.7833535044509944
GO:0004743,1,11,1193,15788,1.2030785643526634,0.5787663349036556,0.7833535044509944
GO:0008536,1,11,1193,15788,1.2030785643526634,0.5787663349036556,0.7833535044509944
GO:0016818,1,11,1193,15788,1.2030785643526634,0.5787663349036556,0.7833535044509944
