group,trait,n,rep,ST_r,MT_r,delta_r
oxalate_triplet,Soluble_Oxalate,41,42,0.10478471018088915,0.10478471018088914,-1.3877787807814457e-17
oxalate_triplet,Soluble_Oxalate,41,43,0.145519047867696,0.1455190478676961,8.326672684688674e-17
oxalate_triplet,Soluble_Oxalate,41,44,-0.029290240297855458,-0.029290240297855458,0.0
oxalate_triplet,Soluble_Oxalate,41,45,0.21585831522912863,0.21585831522912863,0.0
oxalate_triplet,Soluble_Oxalate,41,46,0.06364493410957993,0.06364493410957989,-4.163336342344337e-17
oxalate_triplet,Soluble_Oxalate,41,47,0.04824421996642056,0.048244219966420504,-5.551115123125783e-17
oxalate_triplet,Soluble_Oxalate,41,48,0.002604758406935234,0.00260475840693513,-1.0408340855860843e-16
oxalate_triplet,Soluble_Oxalate,41,49,0.05594148404825745,0.055941484048257425,-2.7755575615628914e-17
oxalate_triplet,Insoluble_Oxalate,41,0,0.09651195259115927,0.09651195259115927,0.0
oxalate_triplet,Insoluble_Oxalate,41,1,0.18505333760636544,0.18505333760636544,0.0
oxalate_triplet,Insoluble_Oxalate,41,2,0.2523116401290409,0.2523116401290409,0.0
oxalate_triplet,Insoluble_Oxalate,41,3,0.240686080170174,0.240686080170174,0.0
oxalate_triplet,Insoluble_Oxalate,41,4,0.2457472977749717,0.2457472977749717,0.0
oxalate_triplet,Insoluble_Oxalate,41,5,0.16136262739965782,0.16136262739965782,0.0
oxalate_triplet,Insoluble_Oxalate,41,6,0.3160177859962827,0.3160177859962827,0.0
oxalate_triplet,Insoluble_Oxalate,41,7,0.2617618474342286,0.2617618474342286,0.0
oxalate_triplet,Insoluble_Oxalate,41,8,0.14982759032724913,0.14982759032724913,0.0
oxalate_triplet,Insoluble_Oxalate,41,9,0.2830964966336421,0.2830964966336421,0.0
oxalate_triplet,Insoluble_Oxalate,41,10,0.12510254331661602,0.12510254331661602,0.0
oxalate_triplet,Insoluble_Oxalate,41,11,0.30193149433557254,0.30193149433557254,0.0
oxalate_triplet,Insoluble_Oxalate,41,12,0.2961141663491863,0.2961141663491863,0.0
oxalate_triplet,Insoluble_Oxalate,41,13,0.3558861999362254,0.3558861999362254,0.0
oxalate_triplet,Insoluble_Oxalate,41,14,0.23498325400713224,0.23498325400713224,0.0
oxalate_triplet,Insoluble_Oxalate,41,15,0.404992017511452,0.404992017511452,0.0
oxalate_triplet,Insoluble_Oxalate,41,16,0.23391632640838161,0.23391632640838161,0.0
oxalate_triplet,Insoluble_Oxalate,41,17,0.2877629326154782,0.2877629326154782,0.0
oxalate_triplet,Insoluble_Oxalate,41,18,0.17530059396841474,0.17530059396841474,0.0
oxalate_triplet,Insoluble_Oxalate,41,19,0.24497768561801198,0.24497768561801198,0.0
oxalate_triplet,Insoluble_Oxalate,41,20,0.23781716330817082,0.23781716330817082,0.0
oxalate_triplet,Insoluble_Oxalate,41,21,0.23827395789571354,0.23827395789571354,0.0
oxalate_triplet,Insoluble_Oxalate,41,22,0.33891889182921286,0.33891889182921286,0.0
oxalate_triplet,Insoluble_Oxalate,41,23,0.3368748094300422,0.3368748094300422,0.0
oxalate_triplet,Insoluble_Oxalate,41,24,0.2097932192320912,0.2097932192320912,0.0
oxalate_triplet,Insoluble_Oxalate,41,25,0.23442386101861784,0.23442386101861784,0.0
oxalate_triplet,Insoluble_Oxalate,41,26,0.15155968540511472,0.15155968540511472,0.0
oxalate_triplet,Insoluble_Oxalate,41,27,0.15358255626432477,0.15358255626432477,0.0
oxalate_triplet,Insoluble_Oxalate,41,28,0.13115442772195646,0.13115442772195646,0.0
oxalate_triplet,Insoluble_Oxalate,41,29,0.1424693404949592,0.1424693404949592,0.0
oxalate_triplet,Insoluble_Oxalate,41,30,0.19116370378007974,0.19116370378007974,0.0
oxalate_triplet,Insoluble_Oxalate,41,31,0.27805705278409987,0.27805705278409987,0.0
oxalate_triplet,Insoluble_Oxalate,41,32,0.17788920355458232,0.17788920355458232,0.0
oxalate_triplet,Insoluble_Oxalate,41,33,0.2954315449422609,0.2954315449422609,0.0
oxalate_triplet,Insoluble_Oxalate,41,34,0.13507572634414614,0.13507572634414614,0.0
oxalate_triplet,Insoluble_Oxalate,41,35,0.29521148861526564,0.29521148861526564,0.0
oxalate_triplet,Insoluble_Oxalate,41,36,0.24493484648947095,0.24493484648947095,0.0
oxalate_triplet,Insoluble_Oxalate,41,37,0.23485378109501798,0.23485378109501798,0.0
oxalate_triplet,Insoluble_Oxalate,41,38,0.26668777058215865,0.26668777058215865,0.0
oxalate_triplet,Insoluble_Oxalate,41,39,0.2221772309359731,0.2221772309359731,0.0
oxalate_triplet,Insoluble_Oxalate,41,40,0.23455781266511483,0.23455781266511483,0.0
oxalate_triplet,Insoluble_Oxalate,41,41,0.25367390866252926,0.25367390866252926,0.0
oxalate_triplet,Insoluble_Oxalate,41,42,0.21722003023539793,0.21722003023539793,0.0
oxalate_triplet,Insoluble_Oxalate,41,43,0.14098257935880543,0.14098257935880543,0.0
