cross_id,parent_A,parent_B,G_ij,trait,mu,sigma,U,direction
TSs151B_x_TSs317,TSs151B,TSs317,-0.262081859187379,Seed_Thickness,5.981,0.2991512513493527,,0
TSs151B_x_TSs317,TSs151B,TSs317,-0.262081859187379,Mass_of_Seeds,0.2509,0.0336521831186524,0.309959581373235,1
TSs151B_x_TSs317,TSs151B,TSs317,-0.262081859187379,Seed_Coat_Tannin,1100.6083786759,126.72490611576288,-878.2061684427362,-1
TSs361_x_TSs49,TSs361,TSs49,-0.258089037816867,Tannin,549.8494937029135,168.47182908156702,-254.1814336647634,-1
TSs361_x_TSs49,TSs361,TSs49,-0.258089037816867,Phenol,255.6432195244855,106.03959632418315,441.7427110734269,1
TSs361_x_TSs49,TSs361,TSs49,-0.258089037816867,Flavonoid,152.771764938076,32.434203864785296,209.69379272077418,1
TSs361_x_TSs49,TSs361,TSs49,-0.258089037816867,Antioxidant,261.6337199397795,76.47758914690381,395.85188889259564,1
TSs361_x_TSs49,TSs361,TSs49,-0.258089037816867,Seed_Length,8.667000000000002,0.37522748736442624,,0
TSs361_x_TSs49,TSs361,TSs49,-0.258089037816867,Seed_Width,6.619,0.2671152853268008,,0
TSs361_x_TSs49,TSs361,TSs49,-0.258089037816867,Seed_Thickness,6.235,0.2986776672795187,,0
TSs361_x_TSs49,TSs361,TSs49,-0.258089037816867,Mass_of_Seeds,0.2814,0.033598908603609444,0.34036608459933454,1
TSs361_x_TSs49,TSs361,TSs49,-0.258089037816867,Seed_Coat_Tannin,846.5949368036895,126.52428888111342,-624.5448098173355,-1
TSs49_x_TSs358,TSs49,TSs358,-0.2562557679830043,Tannin,503.61378928826446,168.34903693036367,-208.16122947547626,-1
TSs49_x_TSs358,TSs49,TSs358,-0.2562557679830043,Phenol,364.7955537099575,105.96230844634408,550.7594050332914,1
TSs49_x_TSs358,TSs49,TSs358,-0.2562557679830043,Flavonoid,131.716273059834,32.410563914493096,188.5968127297694,1
TSs49_x_TSs358,TSs49,TSs358,-0.2562557679830043,Antioxidant,266.3171857061525,76.42184779393466,400.43752858450785,1
TSs49_x_TSs358,TSs49,TSs358,-0.2562557679830043,Seed_Length,8.6865,0.37495399956165654,,0
TSs49_x_TSs358,TSs49,TSs358,-0.2562557679830043,Seed_Width,6.6365,0.26692059603848844,,0
TSs49_x_TSs358,TSs49,TSs358,-0.2562557679830043,Seed_Thickness,6.357,0.2984599734758627,,0
TSs49_x_TSs358,TSs49,TSs358,-0.2562557679830043,Mass_of_Seeds,0.2905999999999999,0.033574419748184696,0.3495231066580641,1
TSs49_x_TSs358,TSs49,TSs358,-0.2562557679830043,Seed_Coat_Tannin,733.5487236670785,126.43207055775407,-511.66043983822016,-1
TSs156A_x_TSs217,TSs156A,TSs217,-0.2560563676916612,Tannin,661.8384819454325,168.3356757263662,-366.40937104565984,-1
TSs156A_x_TSs217,TSs156A,TSs217,-0.2560563676916612,Phenol,215.708094866502,105.95389863275078,401.65718696697957,1
TSs156A_x_TSs217,TSs156A,TSs217,-0.2560563676916612,Flavonoid,108.3640953001393,32.40799161491817,165.24012058432066,1
TSs156A_x_TSs217,TSs156A,TSs217,-0.2560563676916612,Antioxidant,325.50253880913704,76.41578249105643,459.6122370809411,1
TSs156A_x_TSs217,TSs156A,TSs217,-0.2560563676916612,Seed_Length,7.745,0.3749242409306055,,0
TSs156A_x_TSs217,TSs156A,TSs217,-0.2560563676916612,Seed_Width,6.5575,0.2668994115957388,,0
TSs156A_x_TSs217,TSs156A,TSs217,-0.2560563676916612,Seed_Thickness,6.307,0.29843628587619836,,0
