scenario,lambda,sample,contribution
balanced,0.026366508987303583,TSs417,0.0
balanced,0.026366508987303583,TSs44C,0.0
balanced,0.026366508987303583,TSs48,0.0
balanced,0.026366508987303583,TSs49,8.742035026100814e-15
balanced,0.026366508987303583,TSs49A,0.0
balanced,0.026366508987303583,TSs51,1.0263698477777847e-15
balanced,0.026366508987303583,TSs53,1.2528835279889868e-15
balanced,0.026366508987303583,TSs56,0.0
balanced,0.026366508987303583,TSs56A,1.1344662433827617e-15
balanced,0.026366508987303583,TSs58,9.365275611837405e-16
balanced,0.026366508987303583,TSs59B,1.9991379154235023e-15
balanced,0.026366508987303583,TSs5A,0.0
balanced,0.026366508987303583,TSs60,0.0
balanced,0.026366508987303583,TSs60B,7.242349421709866e-16
balanced,0.026366508987303583,TSs61,0.0
balanced,0.026366508987303583,TSs63A,8.300950409844355e-16
balanced,0.026366508987303583,TSs68,9.172910941934528e-15
balanced,0.026366508987303583,TSs7,0.0
balanced,0.026366508987303583,TSs78,0.0
balanced,0.026366508987303583,TSs82,6.936801698396688e-16
balanced,0.026366508987303583,TSs9,1.3033621640256254e-15
balanced,0.026366508987303583,TSs95,0.0
balanced,0.026366508987303583,TSs96,8.26267748653357e-16
balanced,0.026366508987303583,TSs98,0.0
balanced,0.04281332398719394,TSs10,6.342278223525621e-16
balanced,0.04281332398719394,TSs104,0.0
balanced,0.04281332398719394,TSs10A,2.5010936091565297e-15
balanced,0.04281332398719394,TSs11,0.0
balanced,0.04281332398719394,TSs111,0.0
balanced,0.04281332398719394,TSs116,0.0
balanced,0.04281332398719394,TSs119A,7.417307031404144e-16
balanced,0.04281332398719394,TSs120,0.0
balanced,0.04281332398719394,TSs131,0.0
balanced,0.04281332398719394,TSs132,0.0
balanced,0.04281332398719394,TSs133,0.0
balanced,0.04281332398719394,TSs136,0.0
balanced,0.04281332398719394,TSs138B,0.0
balanced,0.04281332398719394,TSs15,0.0
balanced,0.04281332398719394,TSs151B,0.0
balanced,0.04281332398719394,TSs155,0.0
balanced,0.04281332398719394,TSs156A,0.0
balanced,0.04281332398719394,TSs157A,0.9999999999999138
balanced,0.04281332398719394,TSs158,0.0
balanced,0.04281332398719394,TSs161,0.0
balanced,0.04281332398719394,TSs166,0.0
balanced,0.04281332398719394,TSs168,0.0
balanced,0.04281332398719394,TSs195,0.0
balanced,0.04281332398719394,TSs1A,0.0
balanced,0.04281332398719394,TSs2,0.0
balanced,0.04281332398719394,TSs201,0.0
balanced,0.04281332398719394,TSs209,0.0
balanced,0.04281332398719394,TSs217,0.0
balanced,0.04281332398719394,TSs224,0.0
balanced,0.04281332398719394,TSs22A,1.162897479176966e-14
balanced,0.04281332398719394,TSs22B,6.726349779353506e-16
balanced,0.04281332398719394,TSs23,0.0
balanced,0.04281332398719394,TSs24,0.0
balanced,0.04281332398719394,TSs266,0.0
balanced,0.04281332398719394,TSs269,0.0
balanced,0.04281332398719394,TSs27,0.0
balanced,0.04281332398719394,TSs274,0.0
balanced,0.04281332398719394,TSs277,0.0
balanced,0.04281332398719394,TSs282,2.0539125955563626e-14
balanced,0.04281332398719394,TSs287,1.2546894543734576e-16
balanced,0.04281332398719394,TSs291,0.0
balanced,0.04281332398719394,TSs293,6.585373215581727e-17
balanced,0.04281332398719394,TSs294,0.0
balanced,0.04281332398719394,TSs296,3.726321758094234e-16
balanced,0.04281332398719394,TSs297,2.7782150323190824e-15
balanced,0.04281332398719394,TSs3,0.0
balanced,0.04281332398719394,TSs30,0.0
balanced,0.04281332398719394,TSs303,0.0
balanced,0.04281332398719394,TSs311,0.0
balanced,0.04281332398719394,TSs314A,0.0
balanced,0.04281332398719394,TSs314B,0.0
balanced,0.04281332398719394,TSs317,0.0
balanced,0.04281332398719394,TSs325,5.379912022929752e-16
balanced,0.04281332398719394,TSs33,0.0
balanced,0.04281332398719394,TSs331,2.0084146005343406e-15
balanced,0.04281332398719394,TSs333,2.0497857267313502e-15
balanced,0.04281332398719394,TSs334,2.9189959123169912e-15
balanced,0.04281332398719394,TSs336,0.0
balanced,0.04281332398719394,TSs338,0.0
balanced,0.04281332398719394,TSs357,0.0
balanced,0.04281332398719394,TSs358,0.0
balanced,0.04281332398719394,TSs361,0.0
balanced,0.04281332398719394,TSs363,0.0
balanced,0.04281332398719394,TSs365,0.0
balanced,0.04281332398719394,TSs368,9.34602722082783e-16
balanced,0.04281332398719394,TSs371,0.0
balanced,0.04281332398719394,TSs378,0.0
balanced,0.04281332398719394,TSs38,9.002944975007327e-15
balanced,0.04281332398719394,TSs383,0.0
balanced,0.04281332398719394,TSs3A,0.0
balanced,0.04281332398719394,TSs4,5.425562735661849e-18
balanced,0.04281332398719394,TSs417,0.0
balanced,0.04281332398719394,TSs44C,0.0
balanced,0.04281332398719394,TSs48,0.0
balanced,0.04281332398719394,TSs49,8.742035026100814e-15
balanced,0.04281332398719394,TSs49A,0.0
balanced,0.04281332398719394,TSs51,1.0263698477777847e-15
balanced,0.04281332398719394,TSs53,1.2528835279889868e-15
balanced,0.04281332398719394,TSs56,0.0
balanced,0.04281332398719394,TSs56A,1.1344662433827617e-15
balanced,0.04281332398719394,TSs58,9.365275611837405e-16
balanced,0.04281332398719394,TSs59B,1.9991379154235023e-15
balanced,0.04281332398719394,TSs5A,0.0
balanced,0.04281332398719394,TSs60,0.0
balanced,0.04281332398719394,TSs60B,7.242349421709866e-16
balanced,0.04281332398719394,TSs61,0.0
balanced,0.04281332398719394,TSs63A,8.300950409844355e-16
balanced,0.04281332398719394,TSs68,9.172910941934528e-15
balanced,0.04281332398719394,TSs7,0.0
balanced,0.04281332398719394,TSs78,0.0
balanced,0.04281332398719394,TSs82,6.936801698396688e-16
balanced,0.04281332398719394,TSs9,1.3033621640256254e-15
balanced,0.04281332398719394,TSs95,0.0
balanced,0.04281332398719394,TSs96,8.26267748653357e-16
balanced,0.04281332398719394,TSs98,0.0
balanced,0.06951927961775606,TSs10,6.342278223525621e-16
balanced,0.06951927961775606,TSs104,0.0
balanced,0.06951927961775606,TSs10A,2.5010936091565297e-15
balanced,0.06951927961775606,TSs11,0.0
balanced,0.06951927961775606,TSs111,0.0
balanced,0.06951927961775606,TSs116,0.0
balanced,0.06951927961775606,TSs119A,7.417307031404144e-16
balanced,0.06951927961775606,TSs120,0.0
balanced,0.06951927961775606,TSs131,0.0
balanced,0.06951927961775606,TSs132,0.0
balanced,0.06951927961775606,TSs133,0.0
balanced,0.06951927961775606,TSs136,0.0
balanced,0.06951927961775606,TSs138B,0.0
balanced,0.06951927961775606,TSs15,0.0
balanced,0.06951927961775606,TSs151B,0.0
balanced,0.06951927961775606,TSs155,0.0
balanced,0.06951927961775606,TSs156A,0.0
balanced,0.06951927961775606,TSs157A,0.9999999999999138
balanced,0.06951927961775606,TSs158,0.0
balanced,0.06951927961775606,TSs161,0.0
balanced,0.06951927961775606,TSs166,0.0
balanced,0.06951927961775606,TSs168,0.0
balanced,0.06951927961775606,TSs195,0.0
balanced,0.06951927961775606,TSs1A,0.0
balanced,0.06951927961775606,TSs2,0.0
balanced,0.06951927961775606,TSs201,0.0
balanced,0.06951927961775606,TSs209,0.0
balanced,0.06951927961775606,TSs217,0.0
balanced,0.06951927961775606,TSs224,0.0
balanced,0.06951927961775606,TSs22A,1.162897479176966e-14
balanced,0.06951927961775606,TSs22B,6.726349779353506e-16
balanced,0.06951927961775606,TSs23,0.0
balanced,0.06951927961775606,TSs24,0.0
balanced,0.06951927961775606,TSs266,0.0
balanced,0.06951927961775606,TSs269,0.0
balanced,0.06951927961775606,TSs27,0.0
balanced,0.06951927961775606,TSs274,0.0
balanced,0.06951927961775606,TSs277,0.0
balanced,0.06951927961775606,TSs282,2.0539125955563626e-14
balanced,0.06951927961775606,TSs287,1.2546894543734576e-16
balanced,0.06951927961775606,TSs291,0.0
balanced,0.06951927961775606,TSs293,6.585373215581727e-17
balanced,0.06951927961775606,TSs294,0.0
balanced,0.06951927961775606,TSs296,3.726321758094234e-16
balanced,0.06951927961775606,TSs297,2.7782150323190824e-15
balanced,0.06951927961775606,TSs3,0.0
balanced,0.06951927961775606,TSs30,0.0
balanced,0.06951927961775606,TSs303,0.0
balanced,0.06951927961775606,TSs311,0.0
balanced,0.06951927961775606,TSs314A,0.0
balanced,0.06951927961775606,TSs314B,0.0
balanced,0.06951927961775606,TSs317,0.0
balanced,0.06951927961775606,TSs325,5.379912022929752e-16
balanced,0.06951927961775606,TSs33,0.0
balanced,0.06951927961775606,TSs331,2.0084146005343406e-15
balanced,0.06951927961775606,TSs333,2.0497857267313502e-15
balanced,0.06951927961775606,TSs334,2.9189959123169912e-15
balanced,0.06951927961775606,TSs336,0.0
balanced,0.06951927961775606,TSs338,0.0
balanced,0.06951927961775606,TSs357,0.0
balanced,0.06951927961775606,TSs358,0.0
balanced,0.06951927961775606,TSs361,0.0
balanced,0.06951927961775606,TSs363,0.0
balanced,0.06951927961775606,TSs365,0.0
balanced,0.06951927961775606,TSs368,9.34602722082783e-16
balanced,0.06951927961775606,TSs371,0.0
balanced,0.06951927961775606,TSs378,0.0
balanced,0.06951927961775606,TSs38,9.002944975007327e-15
balanced,0.06951927961775606,TSs383,0.0
balanced,0.06951927961775606,TSs3A,0.0
balanced,0.06951927961775606,TSs4,5.425562735661849e-18
balanced,0.06951927961775606,TSs417,0.0
balanced,0.06951927961775606,TSs44C,0.0
balanced,0.06951927961775606,TSs48,0.0
