PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,sample,cluster,Tannin,Phenol,Flavonoid,Antioxidant
7.883405216228887,-15.717671148676622,8.978683107285372,9.794990555013822,-12.16890481302865,21.096031931867053,-5.699396018552464,0.6773502618835254,-2.423403545577842,-3.4639731094212447,TSs78,1,695.466383626912,139.253993829126,100.126791399912,225.964245136732
0.9847532837724491,-8.891575137671579,0.8632832137704906,-0.6345108446724028,-1.7184800232827464,-2.3841230218729392,-1.7750942275681594,5.705080755732684,6.337501342555588,3.1579104804726588,TSs61,1,729.317254314737,124.380233562243,76.403832250301,391.003519798234
2.6346354340756832,20.626284088153074,10.751387241829734,-7.741758446135751,-1.8991613198832749,5.123199640352949,2.604698912084626,6.78872394312759,9.075347274509534,-2.3993486857710002,TSs60,1,397.596636214475,460.161093199478,156.265432461037,383.563839146889
0.16235117809783406,-4.322390512596026,-8.524604877138495,-8.979955906754627,1.2670698189458018,4.51477253900283,2.6478785931758284,7.261982265223051,-1.7644450883369396,0.8246579665461634,TSs274,1,806.717860267591,124.737824876333,134.052340312217,179.770116542653
4.980905083182961,17.636330053136188,9.204904036662706,-6.7512626195254635,2.2244118741021506,0.4658399214358492,-1.8569768693008437,6.924294723941946,-0.6308976351737522,1.8208207529138385,TSs10A,1,618.751573809313,177.528308055961,131.536666527523,355.353844530405
9.869518819097571,-5.290718869446977,-5.823544075867166,-1.4545192762821124,-4.0040407578408335,-6.201092020156782,-3.4628153106708988,-2.507889696571677,1.2599709198318876,-3.745649695185995,TSs96,1,382.617149647015,267.949934683547,130.328205065851,180.035552000817
0.4699304377294496,32.279438623757976,24.420896189381146,-8.610295096516616,0.5593618533743072,-2.6467704614735323,-1.9356123076262863,7.922177212412472,-1.0487184961185927,-7.061977969277133,TSs282,1,660.284995971696,145.065018503903,90.9043818134728,334.345418483785
6.30238807995993,-11.487208024403833,5.96928631070372,0.8759101287153761,-7.4846050448976245,-6.679117607847106,-4.577506819928928,-4.828411569371034,-0.35714973635046254,-4.479278199035884,TSs56A,1,417.158644051563,165.853706315127,192.578043545976,373.31739476693
2.236420418354724,13.62075959185043,-4.104421319853817,15.998919334865292,0.1845744489329094,-1.757054290054143,4.266766150562513,-4.713217228903007,-6.105748847752396,1.589971942619918,TSs296,1,648.95212741343,172.430256080121,123.129258759064,365.467817739833
5.4626573606998905,-1.5178102057893041,3.560715304919122,14.049939395688629,-1.454839853825906,-6.4951357142720845,-5.969908637201271,-3.4783219458628754,-5.119636301865853,-0.7062788292204739,TSs33,1,367.594273355843,467.824633162084,84.8803960994229,253.156474638788
7.522956509319829,-5.553325346456315,5.798466652853245,5.5886904637217185,-7.4709821735692605,18.87378629605405,-3.974231597154875,0.413900231314143,9.24491175636444,-4.172864777785262,TSs311,1,611.137114148237,123.714212989216,164.311975400378,218.048313785812
-1.102591084644807,20.79301065383226,8.833182916868509,10.347384967474916,-0.10772115674980827,-0.9898453183635978,0.428765946340452,-0.7243307303211158,-4.299426439896472,-2.5915835593009633,TSs68,1,345.248520888374,204.333742009368,106.890690122087,223.858773467657
5.016007686839486,1.7657872092911786,0.3058422033364708,-4.493843535624691,-5.312914760368884,-6.844368646192003,-3.0261580127020022,5.086320885212899,-1.069459818185714,-1.5388091340443915,TSs104,1,657.546932838575,108.632989891358,131.432355058879,194.180609833918
7.6573847746729236,-7.279556156365307,9.640917776415385,-2.8679807891818654,2.5138660505948787,-4.0216814078778835,-2.6538339808977103,0.6719649723216299,-4.5279640360188695,7.104219485450234,TSs58,1,369.525865160098,240.441621354803,145.599056095679,329.645750919612
-41.240818314957146,-2.936382417227994,0.7261544934680374,-2.2843958574149386,3.1797944367269277,-4.809416416584564,-6.7660873266817605,-3.3433933264035085,4.401696284952831,0.5438458457674578,TSs358,0,604.948240539693,493.280416621162,106.393859340583,233.724883943803
9.704278945550639,-8.749926292759588,4.513327938538536,1.0401260494248035,0.020124701277040788,-1.0014134063959774,0.637466891569285,-4.998519779087225,-8.179087874456279,4.748335943705461,TSs82,1,400.08509552489,104.172723414918,126.370764652015,318.811280242038
6.883626709799354,-0.5809377756128936,2.144599044288133,-6.579704628910298,2.0589877240373697,3.865543745603394,-6.984121314504632,4.419256713065321,-1.4386639215606423,3.644249407103918,TSs15,1,679.680898759658,129.953081650082,170.902269328135,362.51226510195
